# XPE virtual-grid parameter table -- PRODUCT FILE, built from simulation tables.
# SIMULATION-BASED, NOT CALIBRATED: every section below says so in its own header.
# Built by modules/gsvg/tools/make_vg_table.py (QA-B-101, #180); do not edit by hand.
# [spr_cap] is absent: the cap is the kernel sum (virtual_grid.h, QA-B-93).
# Sources (git blob hash of the file as read):
#   [kernels] tools/mcsim/tables/scatter_kernels_water_csi600.csv 2c61706b8b25bfa02a1fe9b18c4257de53b9e04f
#   [wet] tools/mcsim/tables/wet_water_csi600.csv ecdac1434ad8d0832cf3d09b97c03b87b979c2c6
#   [grid] tools/mcsim/tables/grid_water_victre.csv 55633f2f34c7b74bb2b76ddb7dc14a600788d41f

# XPE virtual-grid scatter kernels -- simulation-based, not calibrated; may be 0.6-0.93x measured SPR (QA-A-95)
# Source: MC-GPU v1.3 photon-counting fork (DIDSR/MCGPUv1.3_PCD_scatterMode e57bd50a0c51), tools/mcsim at commit 65c0915
# Generated 2026-09-17 by tools/mcsim/fit_kernels.py (QA-A-96, #180). Do not scale these values to literature SPR here.
# Assumptions (all of them): water slab density 1.00 g/cm^3 (waterMIF 5-150 keV table), slab 60 x 60 cm;
#   pencil beam on the slab axis; source-detector distance 100 cm; air gap (slab exit face to detector) 2 cm, vacuum;
#   tungsten spectrum SpekPy 2.5.4, anode 12 deg, total filtration 2.5 mm Al; no grid, table, cover or off-focus radiation;
#   detector response = energy absorbed in CsI 600 um, normal incidence for every photon, no K-escape, no light spread.
# Kernel: K(r) = sum_i a_i/(2*pi*s_i^2) * exp(-r^2/(2*s_i^2)) [1/cm^2], r in cm at the detector plane,
#   normalised to the integrated primary signal of the same pencil beam (sum a_i = SPR for an infinite field).
# spr_30x30: scatter/primary summed over a 30 x 30 cm square at the detector (direct pixel sum of the simulated PSF,
#   shift-invariant approximation of a broad beam; not from the fit).
# fit_rms: RMS of (K_fit/K_sim - 1) over r = 0.05-29.75 cm, bins weighted by width. tail_rms: same for r >= 15 cm.
# n_primaries: simulated source photons for the case (fine + coarse detector launches, all repeats).
[kernels]
thickness_cm,kvp,model,a1,s1,a2,s2,a3,s3,a4,s4,fit_rms,tail_rms,spr_30x30,n_primaries
15,80,gauss2,1.49013,3.74475,1.12077,9.65009,,,,,0.181444,0.134287,2.28392,1000128000
15,80,gauss4,0.17276,1.12096,0.609186,3.30002,1.14258,6.49565,0.584607,11.1377,0.0612669,0.0113502,2.28392,1000128000
15,90,gauss2,1.48084,3.75629,1.20319,9.7704,,,,,0.177297,0.13082,2.32981,1000128000
15,90,gauss4,0.15283,1.0615,0.586245,3.21123,1.18923,6.4715,0.655499,11.2248,0.0550316,0.0111725,2.32981,1000128000
15,100,gauss2,1.47608,3.76742,1.2696,9.86694,,,,,0.174061,0.128228,2.3687,1000128000
15,100,gauss4,0.139866,1.01957,0.576817,3.16748,1.22143,6.47891,0.708677,11.317,0.0516372,0.0111895,2.3687,1000128000
15,110,gauss2,1.47324,3.77675,1.32685,9.94213,,,,,0.171376,0.125912,2.4034,1000128000
15,110,gauss4,0.131275,0.992557,0.566926,3.13303,1.24775,6.47786,0.756577,11.3797,0.0480386,0.0111246,2.4034,1000128000
15,120,gauss2,1.47056,3.7802,1.38,10.0018,,,,,0.168861,0.123626,2.43657,1000128000
15,120,gauss4,0.123484,0.966618,0.556913,3.09211,1.26906,6.46262,0.80475,11.4118,0.0452835,0.0113669,2.43657,1000128000
20,60,gauss2,1.80214,3.72869,1.75141,9.59788,,,,,0.165774,0.127378,3.10635,1000128000
20,60,gauss4,0.272546,1.37715,0.75628,3.5946,1.58157,6.84599,0.846986,11.1934,0.0618053,0.0113517,3.10635,1000128000
20,70,gauss2,1.74956,3.7245,1.98027,9.82719,,,,,0.158951,0.120275,3.20567,1000128000
20,70,gauss4,0.223679,1.26472,0.702047,3.44187,1.64855,6.79161,1.06463,11.313,0.0542194,0.00865717,3.20567,1000128000
20,80,gauss2,1.71946,3.74156,2.16698,10.0185,,,,,0.15431,0.115303,3.29446,1000128000
20,80,gauss4,0.187834,1.17939,0.642194,3.28229,1.70637,6.70378,1.26263,11.4104,0.0525083,0.00722361,3.29446,1000128000
20,90,gauss2,1.6996,3.74486,2.32386,10.1522,,,,,0.149934,0.11101,3.3742,1000128000
20,90,gauss4,0.166142,1.11766,0.620953,3.20476,1.74156,6.68707,1.41072,11.505,0.0467421,0.0085434,3.3742,1000128000
20,100,gauss2,1.68484,3.74706,2.45463,10.2517,,,,,0.147112,0.108793,3.44267,1000128000
20,100,gauss4,0.152431,1.0762,0.610976,3.163,1.7786,6.70887,1.517,11.6078,0.0444393,0.00832101,3.44267,1000128000
20,110,gauss2,1.6845,3.764,2.5599,10.3448,,,,,0.14486,0.106635,3.50509,1000128000
20,110,gauss4,0.143576,1.04902,0.598406,3.1335,1.80909,6.70637,1.61454,11.6908,0.0412434,0.00711677,3.50509,1000128000
20,120,gauss2,1.68018,3.76839,2.66434,10.4185,,,,,0.14253,0.104156,3.56509,1000128000
20,120,gauss4,0.132686,1.01148,0.581963,3.07452,1.82796,6.66986,1.72456,11.7236,0.0393007,0.007302,3.56509,1000128000
25,60,gauss2,1.97513,3.70327,2.90967,9.98589,,,,,0.139078,0.106539,4.13591,1000128000
25,60,gauss4,0.278161,1.42095,0.7894,3.54139,2.05183,6.91045,1.68954,11.3294,0.0547637,0.0098939,4.13591,1000128000
25,70,gauss2,1.8736,3.66673,3.29338,10.2178,,,,,0.134383,0.101775,4.28295,1000128000
25,70,gauss4,0.231802,1.32016,0.72009,3.39512,2.11387,6.90226,2.03742,11.5215,0.0535316,0.00935126,4.28295,1000128000
25,80,gauss2,1.83599,3.67562,3.59257,10.4244,,,,,0.13165,0.0995767,4.42171,1000128000
25,80,gauss4,0.190038,1.21495,0.654211,3.20422,2.18749,6.83266,2.33871,11.6964,0.0489686,0.00628422,4.42171,1000128000
25,90,gauss2,1.81444,3.68369,3.84044,10.5833,,,,,0.128395,0.0970197,4.54227,1000128000
25,90,gauss4,0.169294,1.14925,0.652876,3.17734,2.25115,6.90709,2.52956,11.9012,0.0402405,0.00808493,4.54227,1000128000
25,100,gauss2,1.80277,3.7019,4.05437,10.6967,,,,,0.125555,0.0937563,4.65634,1000128000
25,100,gauss4,0.159043,1.12541,0.625915,3.14137,2.27572,6.88335,2.74815,11.9764,0.0394196,0.00630865,4.65634,1000128000
25,110,gauss2,1.79672,3.70109,4.24735,10.7904,,,,,0.123637,0.091826,4.75905,1000128000
25,110,gauss4,0.145341,1.06886,0.623314,3.10342,2.30974,6.89607,2.92022,12.0689,0.0338697,0.0073629,4.75905,1000128000
25,120,gauss2,1.79414,3.71695,4.41511,10.8781,,,,,0.121026,0.0889276,4.85009,1000128000
25,120,gauss4,0.1359,1.04835,0.598079,3.04409,2.3093,6.83399,3.12244,12.0988,0.034289,0.00658777,4.85009,1000128000
30,60,gauss2,2.10699,3.69644,4.35819,10.4108,,,,,0.118773,0.091287,5.26173,1000128000
30,60,gauss4,0.23914,1.39524,0.741938,3.2426,2.42621,6.7406,3.00267,11.4826,0.0512218,0.0166863,5.26173,1000128000
30,70,gauss2,1.98619,3.63548,4.91498,10.6628,,,,,0.115053,0.0888293,5.47736,1000128000
30,70,gauss4,0.194351,1.2468,0.728446,3.17204,2.54098,6.91348,3.3988,11.8417,0.0356263,0.00886972,5.47736,1000128000
30,80,gauss2,1.91476,3.61801,5.37723,10.8757,,,,,0.112399,0.0858504,5.66214,1000128000
30,80,gauss4,0.168279,1.18314,0.676073,3.07039,2.55843,6.89063,3.86254,12.0285,0.0417086,0.0095939,5.66214,1000128000
30,90,gauss2,1.88141,3.62393,5.74014,11.0416,,,,,0.110655,0.0835717,5.82496,1000128000
30,90,gauss4,0.162265,1.14757,0.670329,3.11933,2.6245,6.99641,4.14753,12.2486,0.0378935,0.00678005,5.82496,1000128000
30,100,gauss2,1.8482,3.60346,6.10331,11.1381,,,,,0.108079,0.081073,6.00533,1000128000
30,100,gauss4,0.145762,1.09068,0.619707,2.99698,2.61765,6.89028,4.55532,12.2695,0.0296764,0.00596482,6.00533,1000128000
30,110,gauss2,1.84205,3.6306,6.38566,11.2466,,,,,0.105386,0.0779514,6.14763,1000128000
30,110,gauss4,0.134422,1.06366,0.614759,2.98873,2.63932,6.91157,4.83144,12.3664,0.0335819,0.00650218,6.14763,1000128000
30,120,gauss2,1.85313,3.64797,6.65904,11.3529,,,,,0.10432,0.0766876,6.29747,1000128000
30,120,gauss4,0.126569,1.03128,0.599642,2.94787,2.68196,6.89646,5.10078,12.4703,0.0318055,0.00599643,6.29747,1000128000

# [wet] water-equivalent thickness model -- simulation-based, not calibrated (QA-A-98, #180)
# mu(t) = w0 - a*t/(1+b*t) [1/cm], L = -ln(P/I0) = mu(t)*t, t = water thickness [cm] (US 7,907,697 B2 form).
# A real system needs its own per-pixel calibration of this curve (US 7,907,697); these values only
# describe the simulation below.
# Source: MC-GPU v1.3 photon-counting fork (DIDSR/MCGPUv1.3_PCD_scatterMode e57bd50a0c51), tools/mcsim at commit 5c6ea0c
# Generated 2026-09-17 by tools/mcsim/wet_curve.py.
# Assumptions (all of them): pencil beam, NON-SCATTERED photons only; water 1.00 g/cm^3 (waterMIF 5-150 keV table);
#   thickness 0-30 cm in 1 cm steps; I0 = same pencil through 1 cm of air (air_5_150_keV table);
#   tungsten spectrum SpekPy 2.5.4, anode 12 deg, total filtration 2.5 mm Al; SDD 100 cm, air gap 2 cm (vacuum);
#   detector response = energy absorbed in CsI 600 um, normal incidence, no K-escape, no light spread;
#   1e+08 histories per thickness. Fit: least squares on L(t) over all thicknesses, w0, a, b >= 0.
# Fit quality per kVp is in wet_water_csi600_fit.csv.
[wet]
kvp,w0,a,b
60,0.320332,0.00607909,0.0672916
70,0.2932,0.00467562,0.0594096
80,0.274991,0.00410444,0.059599
90,0.261244,0.00348084,0.0567083
100,0.251253,0.00298762,0.0532508
110,0.243533,0.00260241,0.0499952
120,0.23805,0.0023782,0.0480295

# [grid] anti-scatter grid transmissions -- simulation-based, not calibrated (QA-A-99, #180)
# Model: VICTRE MC-GPU v1.5b (DIDSR/VICTRE_MCGPU 30b5e66cf547), Day & Dance (1983) analytical 1-D focused grid, focal length = SDD.
#   LIMITS of that model (accepted by the lead): no scatter and no fluorescence inside the grid; strip and interspace
#   attenuation use ONE mean free path each, evaluated at one energy per row (column e_mfp_kev).
# Source: tools/mcsim at commit bc14757; generated 2026-09-17 by tools/mcsim/grid_tables.py.
# Assumptions (all of them): water slab density 1.00 g/cm^3 (waterMIF 5-150 keV), slab 60 x 60 cm; broad beam 30 x 30 cm at
#   the detector, SDD 100 cm, slab exit face to detector 2 cm (vacuum); SpekPy 2.5.4 tungsten spectrum, anode 12 deg,
#   2.5 mm Al; detector = ideal energy fluence (no CsI weighting), 6 x 6 cm central region; no table, cover or off-focus.
#   Grid: lead strips (MC-GPU Lead table, nominal density) with fibre interspace modelled as polycarbonate (MC-GPU
#   Polycarbonate table, nominal density); strip thickness 50 um at 40 /cm, 36 um at 60 /cm; height = ratio * (1/freq - strip).
#   e_mfp_kev = count-weighted mean energy of the primary spectrum at the detector for that thickness and kVp.
# Tp = primary with grid / without, Ts = scatter with grid / without (same seeds); *_sem = standard error over launches.
# The first three columns follow the [grid] section of modules/gsvg/src/virtual_grid.h; the rest are extra.
[grid]
ratio,tp,ts,freq_per_cm,strip_um,thickness_cm,kvp,e_mfp_kev,height_cm,tp_sem,ts_sem,spr_nogrid,spr_grid,n_primaries
6,0.790772,0.125703,40,50,10,60,42.6502,0.12,0.00100995,0.000305765,1.45247,0.230888,300038400
8,0.774431,0.0868844,40,50,10,60,42.6502,0.16,0.000806684,0.000175798,1.45247,0.162954,300038400
10,0.761284,0.0652465,40,50,10,60,42.6502,0.2,0.000721744,0.000173361,1.45247,0.124485,300038400
12,0.750432,0.0520055,40,50,10,60,42.6502,0.24,0.000534163,0.000202022,1.45247,0.100657,300038400
6,0.776736,0.155927,60,36,10,60,42.6502,0.0784,0.000873569,0.000388627,1.45247,0.291579,300038400
8,0.76434,0.103498,60,36,10,60,42.6502,0.104533,0.000741803,0.000380036,1.45247,0.196677,300038400
10,0.756917,0.0743553,60,36,10,60,42.6502,0.130667,0.000625275,0.000124689,1.45247,0.142682,300038400
12,0.75165,0.0571646,60,36,10,60,42.6502,0.1568,0.000564443,0.00021901,1.45247,0.110463,300038400
6,0.794088,0.165915,40,50,10,80,51.251,0.12,0.000352769,0.000284693,1.4522,0.303419,300038400
8,0.77815,0.109065,40,50,10,80,51.251,0.16,0.000392055,0.000233863,1.4522,0.203539,300038400
10,0.765601,0.0774988,40,50,10,80,51.251,0.2,0.000317226,0.000190115,1.4522,0.147,300038400
12,0.755342,0.0586313,40,50,10,80,51.251,0.24,0.000421585,0.000161313,1.4522,0.112723,300038400
6,0.779507,0.229377,60,36,10,80,51.251,0.0784,0.000430376,0.000348635,1.4522,0.427324,300038400
8,0.767143,0.153561,60,36,10,80,51.251,0.104533,0.000327306,0.000302105,1.4522,0.29069,300038400
10,0.760063,0.107463,60,36,10,80,51.251,0.130667,0.000432963,0.000203403,1.4522,0.205321,300038400
12,0.755186,0.0785893,60,36,10,80,51.251,0.1568,0.000408581,0.000133838,1.4522,0.151125,300038400
6,0.793572,0.222772,40,50,10,100,58.3941,0.12,0.000367467,0.00043361,1.42924,0.401218,300038400
8,0.777979,0.14851,40,50,10,100,58.3941,0.16,0.000234642,0.000274571,1.42924,0.272832,300038400
10,0.765882,0.103773,40,50,10,100,58.3941,0.2,0.000172995,0.000256977,1.42924,0.193655,300038400
12,0.756084,0.0755499,40,50,10,100,58.3941,0.24,0.000171998,0.000172791,1.42924,0.142814,300038400
6,0.780247,0.309132,60,36,10,100,58.3941,0.0784,0.000248647,0.000596021,1.42924,0.566262,300038400
8,0.767036,0.218752,60,36,10,100,58.3941,0.104533,0.000154572,0.00046659,1.42924,0.407608,300038400
10,0.759865,0.158182,60,36,10,100,58.3941,0.130667,0.000201293,0.000440512,1.42924,0.297526,300038400
12,0.755216,0.116833,60,36,10,100,58.3941,0.1568,0.000134841,0.000176046,1.42924,0.221106,300038400
6,0.796521,0.280148,40,50,10,120,64.4146,0.12,0.000578769,0.000321873,1.39825,0.491784,300038400
8,0.780712,0.193807,40,50,10,120,64.4146,0.16,0.000546394,0.000317976,1.39825,0.347108,300038400
10,0.768732,0.137842,40,50,10,120,64.4146,0.2,0.000500854,0.000300905,1.39825,0.250722,300038400
12,0.759106,0.101066,40,50,10,120,64.4146,0.24,0.000603985,0.000278663,1.39825,0.186161,300038400
6,0.78593,0.378856,60,36,10,120,64.4146,0.0784,0.000525461,0.000159335,1.39825,0.674024,300038400
8,0.770635,0.282053,60,36,10,120,64.4146,0.104533,0.000503039,0.000395388,1.39825,0.51176,300038400
10,0.76272,0.212364,60,36,10,120,64.4146,0.130667,0.000610376,0.000433735,1.39825,0.389315,300038400
12,0.757904,0.161927,60,36,10,120,64.4146,0.1568,0.000583192,0.000206349,1.39825,0.298739,300038400
6,0.794326,0.149275,40,50,20,60,45.6986,0.12,0.00146231,0.000572371,3.50836,0.659314,600076800
8,0.777738,0.101283,40,50,20,60,45.6986,0.16,0.00135683,0.000555452,3.50836,0.456886,600076800
10,0.764713,0.0752057,40,50,20,60,45.6986,0.2,0.00143908,0.000414416,3.50836,0.34503,600076800
12,0.754149,0.0590053,40,50,20,60,45.6986,0.24,0.00161778,0.000477306,3.50836,0.274498,600076800
6,0.779498,0.193924,60,36,20,60,45.6986,0.0784,0.00143294,0.000663436,3.50836,0.872812,600076800
8,0.767207,0.128803,60,36,20,60,45.6986,0.104533,0.00125753,0.000590465,3.50836,0.589005,600076800
10,0.760077,0.0914546,60,36,20,60,45.6986,0.130667,0.00138611,0.000453735,3.50836,0.422136,600076800
12,0.75477,0.0687585,60,36,20,60,45.6986,0.1568,0.00159998,0.000447192,3.50836,0.319607,600076800
6,0.793089,0.213766,40,50,20,80,55.3887,0.12,0.000973535,0.000412928,3.51956,0.948648,600076800
8,0.77737,0.142068,40,50,20,80,55.3887,0.16,0.000933678,0.000517624,3.51956,0.643214,600076800
10,0.765332,0.099678,40,50,20,80,55.3887,0.2,0.000812842,0.000385845,3.51956,0.458393,600076800
12,0.755247,0.0737146,40,50,20,80,55.3887,0.24,0.00103202,0.000256816,3.51956,0.343521,600076800
6,0.779169,0.293085,60,36,20,80,55.3887,0.0784,0.000883005,0.000385513,3.51956,1.32389,600076800
8,0.766472,0.204929,60,36,20,80,55.3887,0.104533,0.000924901,0.000372806,3.51956,0.941013,600076800
10,0.759312,0.146925,60,36,20,80,55.3887,0.130667,0.000894506,0.000404926,3.51956,0.681027,600076800
12,0.754636,0.108248,60,36,20,80,55.3887,0.1568,0.00103119,0.00034073,3.51956,0.504859,600076800
6,0.796237,0.287145,40,50,20,100,63.2655,0.12,0.00056379,0.000381858,3.46531,1.24968,600076800
8,0.780389,0.199682,40,50,20,100,63.2655,0.16,0.000741369,0.000390212,3.46531,0.886687,600076800
10,0.768067,0.142361,40,50,20,100,63.2655,0.2,0.000745566,0.000229693,3.46531,0.642294,600076800
12,0.758552,0.104749,40,50,20,100,63.2655,0.24,0.000699169,0.000340543,3.46531,0.478527,600076800
6,0.784704,0.38513,60,36,20,100,63.2655,0.0784,0.00071765,0.000292201,3.46531,1.70076,600076800
8,0.769577,0.287182,60,36,20,100,63.2655,0.104533,0.000787155,0.000490187,3.46531,1.29315,600076800
10,0.762124,0.216577,60,36,20,100,63.2655,0.130667,0.00073254,0.000427883,3.46531,0.984754,600076800
12,0.757459,0.165164,60,36,20,100,63.2655,0.1568,0.00072899,0.000343482,3.46531,0.755612,600076800
6,0.798405,0.357649,40,50,20,120,70.1688,0.12,0.000754553,0.000540358,3.37287,1.51089,600076800
8,0.781801,0.261278,40,50,20,120,70.1688,0.16,0.00062294,0.000478664,3.37287,1.12721,600076800
10,0.769629,0.193705,40,50,20,120,70.1688,0.2,0.000625401,0.000365188,3.37287,0.848903,600076800
12,0.760246,0.145583,40,50,20,120,70.1688,0.24,0.000697456,0.00036798,3.37287,0.645887,600076800
6,0.791992,0.462468,60,36,20,120,70.1688,0.0784,0.000613841,0.000704218,3.37287,1.96952,600076800
8,0.773799,0.363313,60,36,20,120,70.1688,0.104533,0.000565072,0.000697336,3.37287,1.58363,600076800
10,0.764391,0.286885,60,36,20,120,70.1688,0.130667,0.000713438,0.000469169,3.37287,1.26588,600076800
12,0.759188,0.228198,60,36,20,120,70.1688,0.1568,0.000731455,0.00039085,3.37287,1.01383,600076800
6,0.791841,0.169687,40,50,30,60,47.648,0.12,0.00285007,0.00126273,5.99408,1.28449,1200153600
8,0.776184,0.114295,40,50,30,60,47.648,0.16,0.00330264,0.00109674,5.99408,0.882646,1200153600
10,0.763457,0.0834259,40,50,30,60,47.648,0.2,0.00311859,0.00130593,5.99408,0.654996,1200153600
12,0.754222,0.0653304,40,50,30,60,47.648,0.24,0.00314356,0.00113792,5.99408,0.519205,1200153600
6,0.777534,0.22053,60,36,30,60,47.648,0.0784,0.00316657,0.0016056,5.99408,1.70009,1200153600
8,0.765934,0.149693,60,36,30,60,47.648,0.104533,0.00289791,0.00143929,5.99408,1.17147,1200153600
10,0.7588,0.105497,60,36,30,60,47.648,0.130667,0.00315514,0.00129485,5.99408,0.833367,1200153600
12,0.754493,0.0794702,60,36,30,60,47.648,0.1568,0.00310665,0.00119664,5.99408,0.631352,1200153600
6,0.795343,0.248449,40,50,30,80,58.1559,0.12,0.00293751,0.000710103,6.08779,1.9017,1200153600
8,0.779945,0.169296,40,50,30,80,58.1559,0.16,0.00300109,0.000510978,6.08779,1.32142,1200153600
10,0.768464,0.120024,40,50,30,80,58.1559,0.2,0.00275387,0.000408982,6.08779,0.950829,1200153600
12,0.758291,0.088235,40,50,30,80,58.1559,0.24,0.00266783,0.000258176,6.08779,0.708377,1200153600
6,0.782439,0.33593,60,36,30,80,58.1559,0.0784,0.00306194,0.00100682,6.08779,2.61371,1200153600
8,0.769123,0.242012,60,36,30,80,58.1559,0.104533,0.00294641,0.000612964,6.08779,1.91558,1200153600
10,0.761689,0.177747,60,36,30,80,58.1559,0.130667,0.00278096,0.000478399,6.08779,1.42064,1200153600
12,0.757597,0.133325,60,36,30,80,58.1559,0.1568,0.00270478,0.000464401,6.08779,1.07135,1200153600
6,0.796673,0.333699,40,50,30,100,66.7174,0.12,0.00204242,0.000656343,5.89363,2.46864,1200153600
8,0.78045,0.240298,40,50,30,100,66.7174,0.16,0.00193565,0.000661647,5.89363,1.81463,1200153600
10,0.768699,0.176171,40,50,30,100,66.7174,0.2,0.00173998,0.000735464,5.89363,1.35071,1200153600
12,0.758843,0.131662,40,50,30,100,66.7174,0.24,0.00173688,0.000637129,5.89363,1.02256,1200153600
6,0.788048,0.433898,60,36,30,100,66.7174,0.0784,0.00206866,0.000792905,5.89363,3.24502,1200153600
8,0.771122,0.335615,60,36,30,100,66.7174,0.104533,0.00180041,0.000811555,5.89363,2.56508,1200153600
10,0.762725,0.261377,60,36,30,100,66.7174,0.130667,0.0016712,0.000565529,5.89363,2.01968,1200153600
12,0.757721,0.20529,60,36,30,100,66.7174,0.1568,0.00173068,0.000655609,5.89363,1.59677,1200153600
6,0.800708,0.410558,40,50,30,120,74.5659,0.12,0.00142181,0.000590041,5.74228,2.94432,1200153600
8,0.783185,0.311763,40,50,30,120,74.5659,0.16,0.00161748,0.00052823,5.74228,2.28584,1200153600
10,0.770234,0.238923,40,50,30,120,74.5659,0.2,0.00179138,0.000651179,5.74228,1.78123,1200153600
